is_retweet,created_at,text
True,Sat Feb 24 21:33:21 +0000 2018,RT @CPAC: #ICYMI: @realDonaldTrump addressed the #CPAC2018 conference this morning.  https://t.co/PKsgErPzLY
True,Thu Feb 15 19:26:37 +0000 2018,RT @realDonaldTrump: The Schumer-Rounds-Collins immigration bill would be a total catastrophe. @DHSgov says it would be “the end of immigra…
False,Wed Feb 21 19:08:18 +0000 2018,"""Billy Graham was truly one of a kind. Christians and people of all faiths and backgrounds will miss him dearly. We… https://t.co/O7FFqn597d"
False,Sat Feb 24 14:32:04 +0000 2018,"""Because we want our cities to be sanctuaries for law-abiding Americans, not for criminals."" https://t.co/q2NQEfpMt0"
True,Sat Feb 17 05:07:11 +0000 2018,"RT @realDonaldTrump: Our entire Nation, w/one heavy heart, continues to pray for the victims &amp; their families in Parkland, FL. To teachers,…"
True,Wed Feb 14 20:55:30 +0000 2018,RT @realDonaldTrump: Just spoke to Governor Rick Scott. We are working closely with law enforcement on the terrible Florida school shooting.
False,Wed Feb 21 20:19:06 +0000 2018,"President Trump’s pro-growth policies are reviving the United States economy, and the Economic Report of the Presid… https://t.co/rRnV3sHmjv"
True,Wed Feb 14 20:50:44 +0000 2018,"RT @realDonaldTrump: My prayers and condolences to the families of the victims of the terrible Florida shooting. No child, teacher or anyon…"
False,Wed Feb 14 19:51:02 +0000 2018,The American people overwhelmingly support taking action to rebuild our nation’s infrastructure. More:… https://t.co/FeuSm9QVQt
True,Fri Feb 23 17:07:40 +0000 2018,"RT @realDonaldTrump: After years of rebuilding OTHER nations, we are finally rebuilding OUR nation - and we are restoring our confidence an…"
False,Sun Feb 25 15:16:01 +0000 2018,Merit-based immigration reform will benefit American workers and relieve the strain imposed by our current system o… https://t.co/tSq43BlLOs
True,Wed Feb 14 18:18:11 +0000 2018,"RT @realDonaldTrump: As we come together to celebrate the extraordinary contributions of African-Americans to our nation, our thoughts turn…"
False,Tue Feb 20 19:07:01 +0000 2018,"""Small-business confidence is surging in 2018 as optimism rises among small-business owners about the newly enacted… https://t.co/SGIwWM1SkX"
False,Sun Feb 25 17:04:02 +0000 2018,A new poll shows overwhelming support for President Trump’s immigration priorities. Read more:… https://t.co/8Tzu0pdU7e
True,Fri Feb 23 17:12:21 +0000 2018,"RT @realDonaldTrump: We salute our great American flag, we put our hands on our hearts for the pledge of Allegiance, and we all PROUDLY STA…"
False,Thu Feb 15 14:58:30 +0000 2018,"Presidential proclamation honoring the victims of the tragedy in Parkland, Florida: https://t.co/LR6VKFqcXJ"
False,Sat Feb 24 20:46:01 +0000 2018,President Trump’s Rural Infrastructure Program will provide States with the flexibility to invest in the needs of t… https://t.co/43NRIpdLIQ
False,Thu Feb 15 16:21:29 +0000 2018,"President Trump delivers remarks on the tragedy in Parkland, FL: https://t.co/8RCpD3K8YX"
True,Tue Feb 20 17:53:00 +0000 2018,"RT @realDonaldTrump: Main Street is BOOMING thanks to our incredible TAX CUT and Reform law. ""This shows small-business owners are more tha…"
True,Fri Feb 23 22:47:01 +0000 2018,RT @realDonaldTrump: Thank you to the great men and women of the United States @SecretService for a job well done!
False,Mon Feb 26 19:40:07 +0000 2018,President Trump has proposed an immigration framework that would stem the tide of low-skilled immigration into our… https://t.co/gorNHU0COX
False,Tue Feb 20 22:41:01 +0000 2018,"In President Trump's infrastructure plan, the $50 billion dedicated to rural America represents 25% of all federal… https://t.co/2K1rP09vGL"
True,Wed Feb 21 18:21:30 +0000 2018,"RT @realDonaldTrump: Yesterday, it was my great honor to recognize extraordinary Law Enforcement Officers and First Responders, and to awar…"
False,Fri Feb 23 19:05:33 +0000 2018,Tune in now: https://t.co/oEan1AyBkr https://t.co/MvbncnJD5i
False,Tue Feb 20 21:51:01 +0000 2018,"""Under President Trump’s ‘Building a Stronger America’ infrastructure agenda, we can restore our position in the wo… https://t.co/hl3Mc1lxg9"
True,Fri Feb 16 15:05:37 +0000 2018,RT @realDonaldTrump: I will be leaving for Florida today to meet with some of the bravest people on earth - but people whose lives have bee…
True,Fri Feb 23 17:31:51 +0000 2018,"RT @realDonaldTrump: Our nation’s motto is IN GOD WE TRUST. This week, our nation lost an incredible leader who devoted his life to helping…"
False,Fri Feb 16 15:49:03 +0000 2018,"""Melania and I send our best wishes for a Happy Lunar New Year as people come together to celebrate this special oc… https://t.co/GCgWsyZ5p4"
False,Mon Feb 26 22:52:03 +0000 2018,A new poll shows overwhelming support for President Trump’s immigration priorities: https://t.co/EaD5W35IJe https://t.co/b08HODeoAp
False,Fri Feb 23 17:37:01 +0000 2018,Even some Democrats are breaking from Rep. Pelosi’s line. “I wouldn't say a couple thousand dollars a year is ‘crum… https://t.co/MTYlUX4mLZ
True,Mon Feb 19 13:43:13 +0000 2018,"RT @realDonaldTrump: Have a great, but very reflective, President’s Day!"
True,Wed Feb 14 19:57:02 +0000 2018,"RT @realDonaldTrump: Today, I was honored to be joined by Republicans and Democrats from both the House and Senate, as well as members of m…"
True,Tue Feb 20 16:36:23 +0000 2018,RT @PressSec: Thank you @SecAzar for your leadership—consistent with @POTUS’ direction to provide affordable health coverage alternatives t…
False,Sun Feb 25 18:49:01 +0000 2018,Ending the economic harm caused by our immigration system: the influx of low-skilled labor into the U.S. has put a… https://t.co/YAs433LB9G
False,Mon Feb 26 16:58:01 +0000 2018,"This morning, President Trump welcomed about 40 of the Nation’s governors for a business session covering infrastru… https://t.co/m4pLWzenwv"
False,Wed Feb 14 16:36:01 +0000 2018,Americans want infrastructure reform: https://t.co/15ErX39Qhw
False,Sat Feb 24 18:37:02 +0000 2018,It is time to give rural communities the quality infrastructure they need in order to grow and thrive. More:… https://t.co/XrMOVEkApH
False,Fri Feb 23 21:32:03 +0000 2018,A new poll shows overwhelming support for President Trump’s immigration priorities: https://t.co/EaD5W35IJe https://t.co/ixMlkks3XB
False,Wed Feb 21 23:21:01 +0000 2018,"President Trump’s tax cuts are benefiting United States workers and businesses, providing long-term benefits and pu… https://t.co/EteGSo1LhY"
True,Sat Feb 17 05:06:59 +0000 2018,RT @Scavino45: President Trump and First Lady Melania with all of the incredible First Responders @BrowardSheriff after this evenings round…
False,Thu Feb 22 20:06:01 +0000 2018,It is time to give rural communities the quality infrastructure they need in order to grow and thrive. More:… https://t.co/kCERK93qIC
True,Wed Feb 21 17:47:29 +0000 2018,RT @WhiteHouseCEA: .@WhiteHouseCEA is excited to announce that you can now read the Economic Report of the President: https://t.co/HF3yikfA…
False,Tue Feb 27 01:16:01 +0000 2018,“President Trump on Sunday touted economic growth and a decrease in regulation under his administration at the annu… https://t.co/1FstJepXVL
False,Fri Feb 23 16:07:58 +0000 2018,"""Every child deserves to grow up in a safe community, surrounded by a loving family, and to have a future filled with opportunity and hope."""
False,Fri Feb 23 16:26:18 +0000 2018,"""Under my Administration, the era of economic surrender is OVER."""
False,Wed Feb 21 16:27:03 +0000 2018,"“We have to make sure American farmers and their families, wherever they may be, wherever they may go, have the inf… https://t.co/o6sfaxq6zz"
True,Thu Feb 22 16:37:16 +0000 2018,"RT @realDonaldTrump: On behalf of an entire Nation, CONGRATULATIONS to the U.S. Women's Hockey Team on winning the GOLD! #GoTeamUSA #Olympi…"
False,Mon Feb 26 21:08:02 +0000 2018,The President’s infrastructure plan will give states the flexibility to address the unique needs of their rural com… https://t.co/yIpWIkIXwJ
True,Fri Feb 23 14:38:26 +0000 2018,"RT @PressSec: The Presidential Delegation for the 2018 Olympics joins President Moon, First Lady Kim, and Senior members of his admin for a…"
True,Thu Feb 15 17:34:29 +0000 2018,"RT @realDonaldTrump: In times of tragedy, the bonds that sustain us are those of family, faith, community, and country. These bonds are str…"
False,Thu Feb 22 21:41:03 +0000 2018,"Growth helped the United States economy add 2.2 million nonfarm jobs in 2017, as American workers saw the lowest un… https://t.co/ldkHfwbVsI"
False,Thu Feb 22 14:49:01 +0000 2018,"""The time is right to close the infrastructure gap. America’s economy is strong and poised to continue growing if C… https://t.co/Wz1JrDHXeI"
False,Mon Feb 19 19:06:01 +0000 2018,"The great debate: is it ""Presidents’ Day""—or ""Washington’s Birthday?"" Find out: https://t.co/gPadFvxM1R"
False,Wed Feb 21 17:02:59 +0000 2018,"Rural communities need reliable, modern infrastructure. More: https://t.co/7iPAHAAr60"
False,Sun Feb 18 15:38:02 +0000 2018,It is time to end immigration policies that jeopardize the security of our communities. President Trump wants immig… https://t.co/pyDlyRqQKx
True,Sat Feb 17 16:50:23 +0000 2018,RT @FLOTUS: I encourage everyone to test the power of kindness on #RandomActsofKindnessDay.  It’s an opportunity to teach our children the…
True,Wed Feb 14 17:47:19 +0000 2018,RT @FLOTUS: Looking forward to a very sweet afternoon visiting @theChildrensInn &amp; celebrating Valentine’s Day with some kids at @NIH! #Happ…
False,Sat Feb 24 16:18:03 +0000 2018,"By eliminating costly, unnecessary, and ineffective regulations, President Trump is freeing the United States econo… https://t.co/XqHEeeAKH3"
False,Fri Feb 16 20:22:03 +0000 2018,"""President Trump’s proposal will create new jobs, strengthen our economy, and improve quality of life."" More from S… https://t.co/Zp4mHwKFiG"
False,Thu Feb 22 01:03:01 +0000 2018,Check out tonight's edition of West Wing Reads: https://t.co/KQwKMNoOxq https://t.co/9dFEPiMQJU
True,Thu Feb 22 16:11:49 +0000 2018,"RT @PressSec: .@JimInhofe and @SenWhitehouse have it right, rebuilding our nation’s infrastructure is a bipartisan issue.  We look forward…"
