created_at,is_retweet,text,tweet_id
Tue Dec 12 20:43:54 +0000 2017,True,RT @FLOTUS: Enjoyed last week’s visit to @childrenshealth in DC. Was wonderful to meet brave patients &amp; their families. Wishing everyone a…,Pre-Update
Wed Dec 06 19:00:05 +0000 2017,True,RT @WhiteHouse: President Trump is following through on his promise to recognize Jerusalem as the capital of the State of Israel and has in…,Pre-Update
Wed Dec 06 13:41:04 +0000 2017,True,RT @TomBossert45: Just spoke with @JerryBrownGov. We are praying for the people of Ventura and LA Counties in the path of the wildfires. Th…,Pre-Update
Thu Dec 14 21:02:29 +0000 2017,False,"Great discussion w/ @onetoughnerd, @KimReynoldsIA, @BillHaslam &amp; @AsaHutchinson about how @POTUS' priorities of pro… https://t.co/TDHyF1T0zl",Pre-Update
Mon Dec 11 23:00:46 +0000 2017,True,RT @WhiteHouse: President Trump will make America a leader in space exploration again. Read more: https://t.co/OLVLsXZlTi https://t.co/Eiaw…,Pre-Update
Mon Dec 11 18:31:12 +0000 2017,False,.@POTUS &amp; I STAND w/ people of faith. Honored to meet faith leaders to review what POTUS has done to protect life &amp;… https://t.co/es6GcRXEYZ,Pre-Update
Sat Dec 16 21:30:38 +0000 2017,True,"RT @realDonaldTrump: TAX CUTS will increase investment in the American economy and in U.S. workers, leading to higher growth, higher wages,…",Pre-Update
Sun Dec 10 18:17:17 +0000 2017,True,"RT @FLOTUS: The effects of the hurricane season are still being felt &amp; residents still need our help. As Christmas &amp; the New Year approach,…",Pre-Update
Thu Dec 07 02:41:55 +0000 2017,True,RT @FLOTUS: Thank you #Texas! So enjoyed my visit with everyone today. Special thanks to 1st responders &amp; @CoastalBendFB for all that you d…,Pre-Update
Fri Dec 15 22:59:24 +0000 2017,True,"RT @realDonaldTrump: You are always there for us – THE MEN AND WOMEN IN BLUE.

Thank you to our police, thank you to our sheriffs, and than…",Pre-Update
Tue Dec 12 19:05:06 +0000 2017,False,.@POTUS is keeping his promise to the American people to rebuild our military by signing the National Defense Autho… https://t.co/lQGLK2Itds,Pre-Update
Wed Dec 06 22:37:46 +0000 2017,True,RT @StephGrisham45: .@FLOTUS &amp; @SecondLady now visiting Charlie Marshall Elementary School. With more than 1.4 million public school studen…,Pre-Update
Thu Dec 07 01:19:52 +0000 2017,False,"Today, @POTUS Trump took a truly historic step – when the President of the United States recognized Jerusalem as th… https://t.co/Ern2sGVmJT",Pre-Update
Mon Dec 18 00:27:56 +0000 2017,True,"RT @realDonaldTrump: More than a century after conquering flight, the #WrightBrothers continue to motivate &amp; inspire Americans, who never t…",Pre-Update
Thu Dec 07 01:23:34 +0000 2017,False,"America has momentum, but in order to turn this momentum into sustained econ growth, there’s one more thing we need… https://t.co/WS5kXgSKDw",Pre-Update
Thu Dec 14 21:12:50 +0000 2017,False,"Since day one, @POTUS Trump has been rolling back the heavy hand of government at a record pace.  And as the Presid… https://t.co/LjdyHLloQD",Pre-Update
Mon Dec 11 23:37:08 +0000 2017,False,"Congratulations, Ambassador @petehoekstra! I know from serving together in the Congress and as @POTUS has seen, the… https://t.co/Rl5keEzayy",Pre-Update
Tue Dec 05 20:28:52 +0000 2017,False,Now discussing how @POTUS' pro-American TAX CUTS help America's working families with @radiostieren &amp; then Mike Por… https://t.co/JWscbM9FbG,Pre-Update
Sat Nov 18 18:29:18 +0000 2017,False,"America has momentum right now. But in order to turn this momentum into sustained economic growth, @POTUS &amp; I are g… https://t.co/XA8vxwa47Z",Pre-Update
Fri Nov 17 15:18:58 +0000 2017,False,Another BIG step toward delivering @POTUS' pro-JOBS tax cuts for America’s middle-income families &amp; job creators. T… https://t.co/OFzdrBnJjf,Pre-Update
Sat Dec 02 13:52:30 +0000 2017,True,RT @realDonaldTrump: We are one step closer to delivering MASSIVE tax cuts for working families across America. Special thanks to @SenateMa…,Pre-Update
Wed Nov 29 23:37:09 +0000 2017,True,"RT @realDonaldTrump: This week, the Senate can join the House &amp; take a strong stand for the Middle Class families who are the backbone of A…",Pre-Update
Wed Nov 29 01:30:01 +0000 2017,False,"Everywhere I go, I see the critical need for American leadership &amp; the difference it makes, to confront the emergen… https://t.co/UDEr8plC5H",Pre-Update
Fri Dec 01 00:47:42 +0000 2017,True,"RT @realDonaldTrump: The Christmas Story begins 2,000 years ago with a mother, a father, their baby son and the most extraordinary gift of…",Pre-Update
